Faction,#,Rarity,Type,Name,Point Cost,Masts,Cargo,Base Move,Cannons,Link,Ability,Flavor Text,Treasure Values,SheetName,Set,Edits Log,"If you see something in this Master Spreadsheet that you know is incorrect, message me at any of the Pirates CSG community sites or a7xfanben@gmail.com.  Thanks!"
Pirate,PS-001,Rare,Ship,Revenant  ,15.0,5.0,4.0,L,2L-2S-2S-2S-2L,,Other ships do not block this ship's line of fire.,"The Revenant (""one who returns after death"") is an appropriate name for the mysterious flagship of Capitán El Fantasma and his ghostly crew.",,Spanish Main First Edition,,,
Pirate,PS-002,Rare,Ship,Snipe  ,6.0,1.0,1.0,S+L,3S,,L-range cannons cannot hit this ship.,The Snipe is a fast and agile sloop whose speed is her best defense. Jack Hawkins used the Snipe to capture the Sea Nymph.,,Spanish Main First Edition,,,
Pirate,PS-003,Rare,Ship,Harbinger  ,17.0,5.0,5.0,L,2L-2S-2S-2S-2L,,You own any derelict this ship explores; both ships become docked at your home island.,The very sight of the black sails of Blackheart's flagship has caused ships to strike their colors and surrender.,,Spanish Main First Edition,,,
Pirate,PS-004,Rare,Ship,Zephyr  ,5.0,1.0,1.0,L+L,4S,,This ship gets +1 to her boarding rolls.,The Zephyr was the sloop that Calico Cat stole from Havana. Her crew is made up of the most deadly fighters Havana's slums have ever produced.,,Spanish Main First Edition,,,
Pirate,PS-005,Uncommon,Ship,Shadow  ,13.0,4.0,6.0,L,4S-4L-4L-4S,,"This ship may dock at an enemy home island and load one treasure. If able, she must leave on your next turn.","Taking the El Aquilino—now renamed the Shadow—launched Calico Cat into prominence. How she managed to take such a large ship is still a mystery, but the Cat now has more firepower in her quest for revenge.",,Spanish Main First Edition,,,
Pirate,PS-006,Uncommon,Ship,Pandora  ,11.0,3.0,7.0,L,3S-3L-3S,,This ship gets +1 to her boarding rolls.,"Mastered by the mysterious and beautiful Crimson Angel, the Pandora spreads death and destruction. Unlike the evils spread by the mythological relic, however, Crimson Angel's plunderings are capricious: Some ships suffer only theft, while others are wiped out.",,Spanish Main First Edition,,,
Pirate,PS-007,Uncommon,Ship,Revenge  ,11.0,4.0,4.0,L,4S-4L-4L-4S,,This ship gets +1 to her cannon rolls against English ships.,"The Revenge was known as HMS Sedgewick before she was liberated by Genny Gallows, who gave the ship a new purpose: sending the English to their maker.",,Spanish Main First Edition,,,
Pirate,PS-008,Uncommon,Ship,El Ladron  ,9.0,3.0,3.0,L,2S-2S-2S,,"When this ship sinks another ship, you may repair one of this ship's masts.","The Thief is mastered by Robert Fagan, a London street urchin who leveraged a life of petty crime into one of piracy. Fagan remembers his poor days well, ordering his crew to strip targets of every scrap before letting them sink.",,Spanish Main First Edition,,,
Pirate,PS-009,Uncommon,Ship,Sea Nymph  ,11.0,4.0,3.0,S+L,3S-3L-3L-3S,,"If derelict, this ship gains a base move of S.","After Captain Jack Hawkins was ""asked"" to leave the Ballista, he worked his way back to prominence by taking the El Gama Larga, which he renamed the Sea Nymph as an insult to his former crew.",,Spanish Main First Edition,,,
Pirate,PS-010,Uncommon,Ship,Silverback  ,12.0,3.0,3.0,L,2S-4L-2S,,L-range cannons cannot hit this ship.,"Captain Luc de Card won the Silverback in a card game. Ironically, he later lost the French warship when he bet three kings against a full house. He remarked ruefully that he should have known better than to depend on kings, of all people.",,Spanish Main First Edition,,,
Pirate,PS-011,Uncommon,Ship,Darkhawk II  ,10.0,4.0,8.0,L,2S-3L-3L-2S,,This ship's base move becomes S when she reaches her cargo limit.,"The El Pájaro Relleno was Master Bianco's favorite ship before she was captured. He once said, ""Given time, I could hide most of Spain in her enormous hold.""",,Spanish Main First Edition,,,
Pirate,PS-012,Uncommon,Ship,Freedom  ,12.0,3.0,3.0,L,3L-2L-3L,,"This ship may dock at an enemy home island and load one treasure. If able, she must leave on your next turn.","The Freedom's Captain James avoids stand-up fights. As he says, ""Cannons are indiscriminate: They might hurt me—not just my crew!"" Sneaking into port and stealing is much more his style.",,Spanish Main First Edition,,,
